iteration	score	total_return_pct	max_dd_pct	dd_violated	wr_violated	total_trades	win_rate	sharpe	pf	delta	status	description
1	0.0	-14.0	111.06	True	False	299	39.46	-2.1695	0.7858	0.0	DISCARD	REGIME_PRICE_VS_200_WEIGHT 0.5->0.2
2	0.0	-10.12	111.79	True	False	220	36.82	3.9983	1.0234	0.0	DISCARD	BULL_WEIGHT_VIX 0.1->0.2
3	0.0	-8.88	111.73	True	False	196	38.27	4.0064	0.9009	0.0	DISCARD	SIDE_WEIGHT_MOMENTUM 0.2->0.25
4	0.0	-8.02	112.87	True	False	159	38.36	4.0954	0.9762	0.0	DISCARD	BULL_COMPOSITE_THRESHOLD 0.35->0.45
5	0.0	-8.88	111.73	True	False	196	38.27	4.0064	0.9009	0.0	DISCARD	ADAPTIVE_TP_VIX_HIGH_SCALE 1.3->2.0
6	0.0	-7.35	85.61	True	False	194	37.11	7.0633	0.9576	0.0	KEEP	BEAR_WEIGHT_RSI 0.15->0.1
7	0.0	-7.35	85.61	True	False	194	37.11	7.0633	0.9576	0.0	DISCARD	MOMENTUM_RSI_EXTREME 75->85
8	0.0	-8.49	114.14	True	False	205	40.0	3.5388	0.7967	0.0	DISCARD	BB_PERIOD 25->10
9	0.0	-7.48	85.65	True	False	196	36.73	7.3592	0.8796	0.0	DISCARD	SENTIMENT_THRESHOLD_BOOST 0.05->0.1
10	0.0	-17.83	143.03	True	False	335	41.19	7.3287	0.9489	0.0	DISCARD	SMA_FAST 30->10
11	0.0	-7.35	85.61	True	False	194	37.11	7.0633	0.9576	0.0	DISCARD	SIDE_TRAILING_ATR_MULT 0.5->2.0
12	0.0	-7.35	85.61	True	False	194	37.11	7.0633	0.9576	0.0	DISCARD	GARCH_VOL_DECREASE_SCALE 0.85->1.0
13	0.0	-8.5	140.91	True	False	198	37.88	5.4636	0.9179	0.0	DISCARD	VOLUME_DRY_THRESHOLD 0.7->0.3
14	0.0	-6.65	82.74	True	False	182	37.91	6.6073	0.928	0.0	KEEP	RSI_PERIOD 7->10
15	0.0	-6.65	82.74	True	False	182	37.91	6.6073	0.928	0.0	DISCARD	SIDE_WEIGHT_SENTIMENT 0.1->0.0
16	0.0	-6.65	82.74	True	False	182	37.91	6.6073	0.928	0.0	DISCARD	GARCH_VOL_INCREASE_SCALE 1.2->1.0
17	0.0	-6.91	82.74	True	False	194	40.21	6.4306	0.9537	0.0	DISCARD	REGIME_PARTICLE_WEIGHT 0.1->0.2
