date,forecast_vol,realized_vol,vol_ratio,garch_alpha,garch_beta,persistence
2024-01-24,0.722963,0.584056,1.2378,0.0238,0.8646,0.8884
2024-01-25,0.711097,0.584144,1.2173,0.0247,0.8673,0.892
2024-01-26,0.70269,0.582468,1.2064,0.0254,0.8692,0.8947
2024-01-29,0.692087,0.584487,1.1841,0.0269,0.8705,0.8973
2024-01-30,0.692594,0.599075,1.1561,0.0264,0.8713,0.8977
2024-01-31,0.680149,0.590866,1.1511,0.0282,0.8736,0.9017
2024-02-01,0.76188,0.698266,1.0911,0.0208,0.8655,0.8863
2024-02-02,0.764742,0.690199,1.108,0.0221,0.8605,0.8826
2024-02-05,0.79199,0.727707,1.0883,0.0267,0.8474,0.8741
2024-02-06,0.772728,0.732911,1.0543,0.0235,0.8541,0.8775
2024-02-07,0.757958,0.68955,1.0992,0.0213,0.859,0.8803
2024-02-08,0.755687,0.697858,1.0829,0.0214,0.8594,0.8807
2024-02-09,0.744152,0.69132,1.0764,0.0206,0.8612,0.8818
2024-02-12,0.736272,0.687355,1.0712,0.0206,0.862,0.8826
2024-02-13,0.726764,0.682021,1.0656,0.0212,0.8612,0.8824
2024-02-14,0.747228,0.732059,1.0207,0.0188,0.8628,0.8816
2024-02-15,0.747022,0.72794,1.0262,0.0187,0.8631,0.8819
2024-02-16,0.739729,0.713482,1.0368,0.0185,0.8646,0.8831
2024-02-20,0.7346,0.683804,1.0743,0.0185,0.8642,0.8827
2024-02-21,0.73662,0.708866,1.0392,0.0181,0.8633,0.8814
2024-02-22,0.727528,0.709074,1.026,0.0185,0.8636,0.882
2024-02-23,0.812161,0.869236,0.9343,0.0156,0.8655,0.8811
2024-02-26,0.789971,0.868511,0.9096,0.0106,0.8739,0.8845
2024-02-27,0.781842,0.875929,0.8926,0.0096,0.8749,0.8845
2024-02-28,0.772116,0.868106,0.8894,0.0073,0.8769,0.8841
2024-02-29,0.765912,0.870826,0.8795,0.0061,0.8767,0.8828
2024-03-01,0.761008,0.757401,1.0048,0.0057,0.8757,0.8814
2024-03-04,0.757181,0.745007,1.0163,0.0058,0.8757,0.8815
2024-03-05,0.752504,0.699368,1.076,0.0061,0.8729,0.8789
2024-03-06,0.764077,0.76135,1.0036,0.0042,0.8786,0.8828
2024-03-07,0.760373,0.764876,0.9941,0.004,0.8786,0.8826
2024-03-08,0.760117,0.768707,0.9888,0.0042,0.8804,0.8847
2024-03-11,0.75869,0.787504,0.9634,0.004,0.8811,0.8851
2024-03-12,0.754766,0.783825,0.9629,0.0039,0.8801,0.884
2024-03-13,0.760159,0.82238,0.9243,0.0035,0.8833,0.8868
2024-03-14,0.756483,0.776697,0.974,0.0032,0.883,0.8861
2024-03-15,0.753287,0.767348,0.9817,0.0032,0.8824,0.8855
2024-03-18,0.751251,0.773592,0.9711,0.003,0.8823,0.8853
2024-03-19,0.748586,0.772854,0.9686,0.0033,0.8825,0.8858
2024-03-20,0.745097,0.752182,0.9906,0.0039,0.8822,0.8862
2024-03-21,0.743951,0.760541,0.9782,0.0039,0.8833,0.8872
2024-03-22,0.739375,0.570853,1.2952,0.0049,0.8829,0.8878
2024-03-25,0.735005,0.574937,1.2784,0.0058,0.8822,0.8879
2024-03-26,0.730531,0.56773,1.2868,0.0067,0.8813,0.888
2024-03-27,0.725936,0.573157,1.2666,0.0077,0.8806,0.8882
2024-03-28,0.724301,0.582051,1.2444,0.0078,0.8812,0.889
2024-04-01,0.716968,0.579056,1.2382,0.0098,0.8813,0.8911
2024-04-02,0.710359,0.573229,1.2392,0.0114,0.881,0.8924
2024-04-03,0.715688,0.596609,1.1996,0.0097,0.8808,0.8904
2024-04-04,0.70792,0.519611,1.3624,0.0116,0.882,0.8936
2024-04-05,0.735064,0.603271,1.2185,0.0061,0.8781,0.8842
2024-04-08,0.73873,0.614395,1.2024,0.0059,0.8722,0.8781
2024-04-09,0.734208,0.595098,1.2338,0.0058,0.8784,0.8843
2024-04-10,0.729644,0.593187,1.23,0.0062,0.883,0.8893
2024-04-11,0.728773,0.546719,1.333,0.0059,0.882,0.8879
2024-04-12,0.72752,0.567256,1.2825,0.0059,0.8823,0.8882
