date,fft_return,vol_change,range_mass,price_var,tsfresh_composite
2023-09-19,-0.1568,0.1628,0.21,-0.6526,-0.1092
2023-09-20,-0.221,0.0792,0.21,-0.7084,-0.16
2023-09-21,0.3338,0.6352,0.21,-0.748,0.1078
2023-09-22,0.4604,0.7075,0.21,-0.6235,0.1886
2023-09-25,0.3611,0.7075,0.21,-0.5819,0.1742
2023-09-26,0.2344,0.7075,0.21,-0.5276,0.1561
2023-09-27,-0.6492,0.333,0.21,-0.2738,-0.095
2023-09-28,-0.7672,0.9813,0.21,-0.0965,0.0819
2023-09-29,-0.5725,0.9915,0.21,-0.046,0.1458
2023-10-02,-0.6135,1.1513,0.21,0.0077,0.1889
2023-10-03,-0.6531,1.286,0.21,0.0201,0.2158
2023-10-04,-0.5129,0.3128,0.21,0.142,0.038
2023-10-05,-0.7868,0.8063,0.21,0.2038,0.1083
2023-10-06,-0.7308,0.6623,0.21,0.2783,0.1049
2023-10-09,-0.8471,0.6585,0.21,0.2521,0.0684
2023-10-10,-0.4914,0.6585,0.21,0.1356,0.1282
2023-10-11,-0.3849,0.9367,0.21,0.0468,0.2021
2023-10-12,-0.3222,0.3989,0.21,-0.06,0.0567
2023-10-20,-0.5539,1.246,0.21,-0.3113,0.1477
2023-10-23,0.2342,1.246,0.21,-0.2336,0.3641
2023-10-24,0.2651,0.4531,0.21,-0.2123,0.179
2023-10-25,0.1127,-1.6707,0.21,-0.3173,-0.4163
2023-10-26,0.2535,0.6424,0.21,-0.2,0.2265
2023-10-27,0.1135,0.6424,0.21,0.1007,0.2666
2023-10-30,-0.1481,1.2724,0.21,0.3804,0.4287
2023-10-31,0.6772,1.2724,0.21,0.4339,0.6484
2023-11-01,0.8808,0.1035,0.21,0.4854,0.4199
2023-11-02,1.0668,0.1035,0.21,0.4826,0.4657
2023-11-03,1.0688,0.1035,0.21,0.4555,0.4594
2023-11-06,0.9599,-0.703,0.21,0.4844,0.2378
2023-11-07,0.4439,-0.703,0.21,0.526,0.1192
2023-11-08,0.5299,-0.2191,0.21,0.6063,0.2818
2023-11-09,0.4692,1.397,0.21,0.68,0.6891
2023-11-10,0.5933,0.9099,0.21,0.7053,0.6046
2023-11-13,0.4873,1.397,0.21,0.8172,0.7279
2023-11-14,0.3344,1.397,0.21,0.892,0.7084
2023-11-15,0.833,2.7026,0.21,1.1242,1.2174
2023-11-16,0.9872,-1.8693,0.21,1.3323,0.165
2023-11-17,1.1355,-1.4864,0.21,1.5458,0.3512
2023-11-20,1.1186,-0.3036,0.21,1.6933,0.6796
2023-11-21,1.2413,-0.0163,0.21,1.8581,0.8233
2023-11-22,0.8016,-0.9805,0.21,1.9805,0.5029
2023-11-24,0.3012,-1.254,0.21,1.9936,0.3127
2023-11-27,0.2617,-0.3182,0.21,1.812,0.4914
2023-11-28,0.1567,-0.3182,0.21,1.4579,0.3766
2023-11-29,0.0063,-0.1842,0.21,1.1354,0.2919
2023-11-30,-0.3963,-0.1842,0.21,0.7584,0.097
2023-12-01,-0.8829,-0.1842,0.21,0.4236,-0.1084
2023-12-04,-0.8327,-0.1842,0.21,0.2811,-0.1314
2023-12-05,-0.757,-0.1842,0.21,0.1571,-0.1435
2023-12-06,-0.6498,-0.6246,0.21,0.0159,-0.2621
2023-12-07,-0.489,-0.0651,0.21,-0.1401,-0.1211
2023-12-08,-0.6265,-1.4796,0.21,-0.3103,-0.5516
2023-12-11,-0.9986,-1.4796,0.21,-0.6659,-0.7335
2023-12-12,-0.8143,-0.0651,0.21,-0.7535,-0.3557
2023-12-13,-0.9092,-0.3222,0.21,-0.8825,-0.476
2023-12-14,-0.8589,0.6102,0.21,-0.6629,-0.1754
2023-12-15,-0.8454,1.121,0.21,-0.5029,-0.0043
2023-12-18,-0.8291,1.6876,0.21,-0.4024,0.1665
2023-12-19,-0.8343,2.3829,0.21,-0.2523,0.3766
2023-12-20,-1.0568,2.71,0.21,-0.0239,0.4598
2023-12-21,-0.6316,3.0,0.21,-0.0129,0.8261
2023-12-22,-0.7574,2.8969,0.21,0.0614,0.6027
2023-12-26,-0.6788,0.462,0.21,0.1268,0.03
2023-12-27,-0.5,1.1774,0.21,0.2055,0.2732
2023-12-28,-0.3905,-0.7583,0.21,0.2509,-0.172
2023-12-29,-0.4038,-0.7583,0.21,0.2247,-0.1818
2024-01-02,-0.2757,-3.0,0.21,0.1756,-0.938
2024-01-03,-0.2935,-0.6597,0.21,0.1152,-0.157
